epoch,loss,accuracy,precision,recall,f1_score,precision_cover,recall_cover,f1_cover,precision_stego,recall_stego,f1_stego,learning_rate
15,0.5245976407080889,0.6903125,0.6822262118491921,0.7125,0.6970345460103944,0.6991497710922171,0.668125,0.6832853946947907,0.6822262118491921,0.7125,0.6970345460103944,0.001
16,0.5186537211760879,0.6949375,0.6895587699039747,0.709125,0.6992050286559438,0.7006303872378747,0.68075,0.6905471375134724,0.6895587699039747,0.709125,0.6992050286559438,0.001
17,0.5173596827313304,0.695875,0.6900315304390007,0.71125,0.7004801181829373,0.7020892442610266,0.6805,0.6911260632220388,0.6900315304390007,0.71125,0.7004801181829373,0.001
18,0.5121736278757453,0.698,0.6894736842105263,0.7205,0.7046454767726161,0.7073298429319371,0.6755,0.6910485933503836,0.6894736842105263,0.7205,0.7046454767726161,0.001
19,0.4988159595057368,0.7085,0.7030185004868549,0.722,0.7123828317710903,0.7142857142857143,0.695,0.7045108971109985,0.7030185004868549,0.722,0.7123828317710903,0.001
20,0.48291198145598174,0.71875,0.717391304347826,0.721875,0.719626168224299,0.720125786163522,0.715625,0.7178683385579937,0.717391304347826,0.721875,0.719626168224299,0.0002
21,0.4777141515165567,0.7239375,0.7175470552519733,0.738625,0.7279334770557437,0.7307147456535737,0.70925,0.7198223913732953,0.7175470552519733,0.738625,0.7279334770557437,0.0002
22,0.4747255723923445,0.7265625,0.7197236028609528,0.742125,0.7307526617022586,0.733840794736163,0.711,0.7222398577868072,0.7197236028609528,0.742125,0.7307526617022586,0.0002
23,0.4725076794624329,0.729,0.7245648443245893,0.738875,0.7316499566778066,0.7336138740117317,0.719125,0.7262971846989017,0.7245648443245893,0.738875,0.7316499566778066,0.0002
24,0.4724307732656598,0.7255,0.7174017835623042,0.744125,0.7305190820959627,0.7342248766554141,0.706875,0.7202904088651128,0.7174017835623042,0.744125,0.7305190820959627,0.0002
25,0.47084403317421675,0.7281875,0.7263484190948543,0.73225,0.7292872704637411,0.7300567107750473,0.724125,0.7270787574521493,0.7263484190948543,0.73225,0.7292872704637411,0.0002
26,0.4706269957125187,0.727375,0.7209669582118562,0.741875,0.7312715623459832,0.7341658084449022,0.712875,0.7233637747336378,0.7209669582118562,0.741875,0.7312715623459832,0.0002
27,0.4669752141460776,0.7335625,0.726457399103139,0.74925,0.7376776813734539,0.7411278874693509,0.717875,0.729316147056956,0.726457399103139,0.74925,0.7376776813734539,0.0002
28,0.4642326241359115,0.733875,0.7306459566074951,0.740875,0.7357249255213505,0.7371957403651116,0.726875,0.7319989929506546,0.7306459566074951,0.740875,0.7357249255213505,0.0002
29,0.4613294441252947,0.732375,0.7302452316076294,0.737,0.7336070673136743,0.7345445369669442,0.72775,0.7311314831093809,0.7302452316076294,0.737,0.7336070673136743,0.0002
30,0.46203218344599006,0.7330625,0.7260822117133503,0.7485,0.7371206992060073,0.7404875532052109,0.717625,0.7288770392941027,0.7260822117133503,0.7485,0.7371206992060073,0.0002
31,0.4569022711366415,0.737875,0.7310026705511047,0.75275,0.7417169602167755,0.745168770935326,0.723,0.7339170156071565,0.7310026705511047,0.75275,0.7417169602167755,0.0002
32,0.45775945000350476,0.736,0.730356271351879,0.74825,0.7391948629291183,0.7419272168118913,0.72375,0.7327258921791951,0.730356271351879,0.74825,0.7391948629291183,0.0002
33,0.4558543026447296,0.740875,0.7358629130966953,0.7515,0.7435992578849722,0.7461047254150702,0.73025,0.7380922299431459,0.7358629130966953,0.7515,0.7435992578849722,0.0002
34,0.4530500641092658,0.7398125,0.7345067840117345,0.751125,0.7427229466658427,0.7453638572707507,0.7285,0.7368354510398888,0.7345067840117345,0.751125,0.7427229466658427,0.0002
35,0.4452133934944868,0.7475,0.7380379899014186,0.767375,0.7524206397842873,0.7577453788076022,0.727625,0.74237979849509,0.7380379899014186,0.767375,0.7524206397842873,4e-05
